Organismo;CpG_Count
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Cunech1n;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
Mucend1;0
